Syllogism;Aac;Eac;Iac;Oac;Aca;Eca;Ica;Oca;NVC
AA1;1;0;0;0;0;0;0;0;0
AA2;1;0;0;0;1;0;0;0;0
AA3;1;0;0;0;0;0;0;0;1
AA4;1;0;1;0;0;0;0;0;1
AI1;0;0;1;0;0;0;0;0;1
AI2;0;0;1;0;0;0;1;0;0
AI3;0;0;1;0;0;0;1;0;1
AI4;0;0;1;0;0;0;1;0;0
AE1;0;1;0;0;0;1;0;0;0
AE2;0;1;0;0;0;1;0;0;1
AE3;0;1;0;0;0;1;0;0;0
AE4;0;1;0;0;0;1;0;0;1
AO1;0;0;0;1;0;0;0;0;1
AO2;0;0;0;0;0;0;1;1;1
AO3;0;0;0;0;0;0;0;1;1
AO4;0;0;0;1;0;0;0;0;1
IA1;0;0;1;0;0;0;0;0;0
IA2;0;0;1;0;0;0;1;0;1
IA3;0;0;1;0;0;0;1;0;1
IA4;0;0;1;0;0;0;1;0;0
II1;0;0;1;0;0;0;0;0;1
II2;0;0;1;0;0;0;1;0;1
II3;0;0;1;0;0;0;0;0;1
II4;0;0;1;0;0;0;0;0;1
IE1;0;1;0;1;0;0;0;0;0
IE2;0;1;0;1;0;1;0;0;1
IE3;0;1;0;1;0;1;0;0;1
IE4;0;1;0;1;0;1;0;0;1
IO1;0;0;0;1;0;0;0;0;1
IO2;0;0;0;0;0;0;0;1;1
IO3;0;0;0;1;0;0;0;1;1
IO4;0;0;0;1;0;0;0;0;1
EA1;0;1;0;0;0;1;0;0;1
EA2;0;1;0;0;0;1;0;0;1
EA3;0;1;0;0;0;1;0;0;0
EA4;0;1;0;0;0;1;0;0;1
EI1;0;1;0;0;0;0;0;1;1
EI2;0;1;0;0;0;1;0;1;1
EI3;0;1;0;0;0;1;0;1;1
EI4;0;1;0;0;0;0;0;0;1
EE1;0;1;0;0;0;0;0;0;1
EE2;0;1;0;0;0;1;0;0;1
EE3;0;1;0;0;0;0;0;0;1
EE4;0;1;0;0;0;0;0;0;1
EO1;0;1;0;1;0;0;0;0;1
EO2;0;0;0;0;0;0;1;1;1
EO3;0;1;0;0;0;0;0;0;1
EO4;0;1;0;1;0;0;0;0;1
OA1;0;0;1;1;0;0;0;0;1
OA2;0;0;0;0;0;0;0;1;1
OA3;0;0;1;1;0;0;0;0;1
OA4;0;0;0;1;0;0;0;1;1
OI1;0;0;1;1;0;0;0;0;1
OI2;0;0;0;0;0;0;0;1;1
OI3;0;0;0;1;0;0;0;1;1
OI4;0;0;0;1;0;0;0;1;1
OE1;0;0;1;1;0;0;0;0;1
OE2;0;0;0;0;0;1;0;0;1
OE3;0;1;0;0;0;1;0;0;1
OE4;0;0;0;1;0;1;0;0;1
OO1;0;0;0;1;0;0;0;0;1
OO2;0;0;0;1;0;0;0;1;1
OO3;0;0;0;1;0;0;0;0;1
OO4;0;0;0;1;0;0;0;0;1
